ciudad,lat,lon,lat_pixel,lon_pixel,dias_uvi_3,dias_uvi_6,dias_uvi_8,dias_uvi_11,uvi_promedio,uvi_maximo
Ciudad de México,19.4326,-99.1332,19.375,-99.125,366,366,321,246,12.123683065664572,15.970000267028809
Puebla,19.0414,-98.2063,19.125,-98.125,366,366,329,249,12.219655726125332,16.089000701904297
Querétaro,20.5888,-100.3899,20.625,-100.375,366,366,295,236,11.53159016207919,15.307000160217285
Acapulco,16.8531,-99.8237,16.875,-99.875,366,366,317,236,11.2284781515924,14.638999938964844
Veracruz,19.1738,-96.1342,19.125,-96.125,366,365,291,218,10.663174865024338,13.878999710083008
León,21.1222,-101.684,21.125,-101.625,366,364,290,231,11.408221296925362,15.5649995803833
Guadalajara,20.6597,-103.3496,20.625,-103.375,366,364,291,229,11.249732254632836,15.208999633789062
Zapopan,20.7214,-103.3918,20.625,-103.375,366,364,291,229,11.249732254632836,15.208999633789062
Mérida,20.9674,-89.5926,20.875,-89.625,366,344,271,196,10.108967242996549,13.487000465393066
Cancún,21.1619,-86.8515,21.125,-86.875,366,336,268,191,10.065642071551965,13.359999656677246
Monterrey,25.6866,-100.3161,25.625,-100.375,366,290,244,165,9.442844252768761,13.767999649047852
Hermosillo,29.0729,-110.9559,29.125,-110.875,363,253,188,77,7.904726773663297,13.383999824523926
Juárez,31.6904,-106.4245,31.625,-106.375,348,241,182,85,7.725866147729217,12.970000267028809
Mexicali,32.6638,-115.4673,32.625,-115.375,315,201,149,11,6.771628432260837,11.666000366210938
Tijuana,32.5149,-117.0382,32.625,-117.125,317,197,149,14,6.7515437264260045,11.482000350952148
